0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
3,470000,11750,2350,9400,44565,Y,PE,0.2,,2021-01-01 00:00:00,2022-01-01 00:00:00,2023-01-01 00:00:00,2024-01-01 00:00:00,2025-01-01 00:00:00
4,970000,29100,5820,23280,44585,C,PE,0.2,Yearly Totals - GF,,,,,
5,1125000,22500,4500,18000,,,PE,0.2,Rentals,32874,,,,
6,860000,17200,3440,13760,,,PE,0.2,Sales,61575,,,,
7,1950000,39000,13650,25350,,,GS,0.35,Commercial,0,,,,
8,0,0,0,0,,,PE,,,2021-01-01 00:00:00,2022-01-01 00:00:00,2023-01-01 00:00:00,2024-01-01 00:00:00,2025-01-01 00:00:00
9,420000,8400,1680,6720,,,PE,0.2,Yearly Totals - CC,,,,,
10,810000,20250,4050,16200,,,PE,0.2,Rentals,6400,,,,
11,510000,10200,3570,6630,,,GS,0.35,Sales,0,,,,
,0,0,0,0,,,,,Commercial,0,,,,
,0,0,0,0,,,,,,2021-01-01 00:00:00,2022-01-01 00:00:00,2023-01-01 00:00:00,2024-01-01 00:00:00,2025-01-01 00:00:00
,0,0,0,0,,,,,,,,,,
,0,0,0,0,,,,,,,,,,
,0,0,0,0,,,,,,,,,,
Moore,0,0,0,0,,,,,,,,,,
Skinny Pig's Yiayia,0,0,0,0,,,,,,,,,,
,8370000,179375,45730,133645,,0.254940766550523,,,,,,,,
Commercial - Lease,,,,,,,,,,,,,,
Address,Price,Commission,Office,Agent,Date,Paid,Agent,,,,,,,
1,735,735,147,588,44515,Y,PE,0.2,,,,,,
2,800,800,160,640,44515,Y,PE,0.2,,,,,,
3,2400,2400,480,1920,44515,Y,PE,0.2,,,,,,
4,4200,8400,1680,6720,44581,C,PE,0.2,,,,,,
5,0,0,0,0,,,PE,,,,,,,
6,0,0,0,0,,,PE,,,,,,,
7,0,0,0,0,,,PE,,,,,,,
8,0,0,0,0,,,PE,,,,,,,
,0,0,0,0,,,,,,,,,,
,0,0,0,0,,,,,,,,,,
,0,0,0,0,,,,,,,,,,
,0,0,0,0,,,,,,,,,,
,0,0,0,0,,,,,,,,,,
,8135,12335,2467,9868,,0.2,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
b,,,, xcb.,,,,,,,,,,
