('Mtrl', 'Width', 'Height', None, None, None, 'This is what I need:', None, None)
('PVC', 10, 6, None, None, None, None, None, None)
('PVC', 7, 10, None, None, None, None, None, None)
('metal', 6, 5, None, None, None, None, None, None)
('wood', 4, 11, None, None, None, None, None, None)
('wood', 2, 4, None, None, None, None, None, None)
('PVC', 9, 11, None, None, None, None, None, None)
('PVC', 7, 1, None, None, None, None, None, None)
('wood', 6, 1, None, None, None, None, None, None)
('PVC', 12, 9, None, None, None, None, None, None)
('wood', 10, 6, None, None, None, None, None, None)
('wood', 11, 2, None, None, None, None, None, None)
('glass', 7, 4, None, None, None, None, None, None)
('glass', 6, 1, None, None, None, None, None, None)
('wood', 6, 2, None, None, None, None, None, None)
('PVC', 2, 1, None, None, None, None, None, None)
('glass', 5, 9, None, None, None, None, None, None)
('glass', 4, 5, None, None, None, None, None, None)
('wood', 5, 1, None, None, None, None, None, None)
('wood', 7, 5, None, None, None, None, None, None)
('PVC', 2, 3, None, None, None, None, None, None)
('PVC', 12, 11, None, None, None, None, None, None)
('metal', 2, 8, None, None, None, None, None, None)
('metal', 7, 2, None, None, None, None, None, None)
('metal', 10, 3, None, None, None, None, None, None)
('glass', 11, 7, None, None, None, None, None, None)
('glass', 12, 6, None, None, None, None, None, None)
('wood', 10, 2, None, None, None, None, None, None)
('metal', 12, 5, None, None, None, None, None, None)
('glass', 12, 6, None, None, None, None, None, None)
('PVC', 1, 9, None, None, None, None, None, None)
('glass', 2, 10, None, None, None, None, None, None)
('metal', 8, 1, None, None, None, None, None, None)
('wood', 2, 1, None, None, None, None, None, None)
('PVC', 9, 9, None, None, None, None, None, None)
('wood', 9, 4, None, None, None, None, None, None)
('wood', 5, 11, None, None, None, None, None, None)
('glass', 2, 9, None, None, None, None, None, None)
('glass', 4, 9, None, None, None, None, None, None)
('metal', 5, 3, None, None, None, None, None, None)
('wood', 12, 4, None, None, None, None, None, None)
('PVC', 3, 11, None, None, None, None, None, None)
('wood', 11, 1, None, None, None, None, None, None)
('wood', 8, 1, None, None, None, None, None, None)
('glass', 2, 4, None, None, None, None, None, None)
('glass', 5, 3, None, None, None, None, None, None)
('wood', 8, 4, None, None, None, None, None, None)
('metal', 9, 8, None, None, None, None, None, None)
('glass', 6, 3, None, None, None, None, None, None)
('PVC', 3, 10, None, None, None, None, None, None)
('glass', 9, 11, None, None, None, None, None, None)
('metal', 2, 10, None, None, None, None, None, None)
('wood', 1, 12, None, None, None, None, None, None)
('PVC', 4, 9, None, None, None, None, None, None)
('wood', 9, 10, None, None, None, None, None, None)
('wood', 5, 6, None, None, None, None, None, None)
('glass', 11, 9, None, None, None, None, None, None)
('glass', 6, 11, None, None, None, None, None, None)
('wood', 10, 9, None, None, None, None, None, None)
('glass', 1, 7, None, None, None, None, None, None)
('PVC', 9, 11, None, None, None, None, None, None)
('glass', 6, 1, None, None, None, None, None, None)
('metal', 8, 8, None, None, None, None, None, None)
('wood', 8, 3, None, None, None, None, None, None)
('PVC', 4, 1, None, None, None, None, None, None)
('PVC', 10, 12, None, None, None, None, None, None)
('metal', 9, 7, None, None, None, None, None, None)
('PVC', 5, 12, None, None, None, None, None, None)
